Name,Barangay,Category,Subcategory
CARIÑOSO FOOD SERVICES,Diezmo,Food Services,Canteen
LABADABEST LAUNDRY HOUSE,Mamatid,Personal and Household Services,Laundry Shops
M A COMMERCIAL SPACE LEASING,Pulo,Construction and Real Estate,Lessor (Commercial Space)
ABUNDANS GRAINS MARKETING CORP.,Banlic,Retail Stores,Food and Beverage
LEIGENE AUTOMOTIVE CARE SERVICES,Sala,Automotive Services,Auto Repair Services
JAYLU FOOD SERVICES,Diezmo,Food Services,Canteen
HCA HAULING SERVICE,Mamatid,Transportation and Logistics,Hauling Services
"ALFAMART TRADING PHILIPPINES, INC.",Banaybanay,Construction and Real Estate,Lessor (Commercial Space)
"ALFAMETRO MARKETING, INC.",Banaybanay,Retail Stores,Convenience Stores
"ALPHA BAZAARS & CONCEPTS, INC.",Pulo,Construction and Real Estate,Lessor (Commercial Space)
U.P. THERAPY CENTER,Pulo,Healthcare Services,Therapy Centers
ANAMORPHIC EXPERIENCES STUDIO INC.,Banaybanay,Creative and Media Services,Event Design Service
HAVEN`S PAYMENT CENTER,Niugan,Finance and Insurance,Payment Center
HAVEN`S PHARMACY,Niugan,Healthcare Services,Pharmacies
R.A. ARCILLA CONSTRUCTION SUPPLIES TRADING,Banlic,Construction and Real Estate,Construction Services
AAAPE CORPORATION,Banaybanay,Construction and Real Estate,Lessor (Commercial Space)
RHALCANTARA HAULING SERVICES,Banaybanay,Transportation and Logistics,Hauling Services
CRISTINA A. DIZON-ALINSUNURIN DENTAL CLINIC,Mamatid,Healthcare Services,Dental Clinics
ALEMANIA DENTAL CLINIC,Bigaa,Healthcare Services,Dental Clinics
MAVIA ONLINE SHOP,Marinig,Retail Stores,Online Shops
ARJOY RENZIE ONLINE SHOP,Marinig,Retail Stores,Online Shops
DZIGN STCKR ONLINE SHOP,Marinig,Retail Stores,Online Shops
JOEL&APRIL PARESAN,Banaybanay,Food Services,Food Stand
TRIVIAS SHAPPU ONLINE SHOP,Marinig,Retail Stores,Online Shops
PRINCE STICKA ZONE ONLINE SHOP,Marinig,Retail Stores,Online Shops
MELISA`S SARI-SARI STORE,Niugan,Retail Stores,Sari-Sari Store
ALAON BAKERY,Banaybanay,Retail Stores,Food and Beverage
M.C.A CAFETERIA,Poblacion Uno,Food Services,Restaurant
M&C PHARMACURE DRUGMART (VALUEMED GENERICS PHARMACY),Sala,Healthcare Services,Pharmacies
GRACE PRINTING SERVICES,Poblacion Tres,Creative and Media Services,Printing Services
GIOMAX VULCANIZING SHOP,Banaybanay,Automotive Services,Vulcanizing Services
DANILO & CATHY DRESSED CHICKEN STORE,Butong,Wholesale and Distribution,Food Products
LUCKYVENTURE88 CONSTRUCTION MATERIALS TRADING,Butong,Retail Stores,Hardware and Construction Supplies
JC SIGN ADVERTISING DISPLAYS MANUFACTURING,Banlic,Creative and Media Services,Advertising and Marketing
JNJ HARDWARE,Mamatid,Retail Stores,Hardware and Construction Supplies
SOLESKY CONSTRUCTION,Banlic,Construction and Real Estate,Construction Services
DOC FAYDS DENTAL CLINIC,Butong,Healthcare Services,Dental Clinics
BALMES-BATERISNA DENTAL CLINIC,Banlic,Healthcare Services,Dental Clinics
RIGHT SMILE DENTAL CLINIC,Banaybanay,Healthcare Services,Dental Clinics
DELFINO-BALTAZAR DENTAL CLINIC,Poblacion Tres,Healthcare Services,Dental Clinics
BECIS BIOENERGY (PHILIPPINES) CORPORATION,Niugan,Construction and Real Estate,Building Contractor
PEDALS N GULONG BIKE SHOP,Banlic,Retail Stores,Vehicle and Parts Supplies
B-MIRK ENTERPRISES CORPORATION,Pulo,Professional Services,Contracting and Manpower Services
JAKE RHIANA FURNITURE SHOP,Banlic,Personal and Household Services,Furniture & Carpentry
PAOTIAN HERBAL FOOD SUPPLEMENT TRADING,Mamatid,Retail Stores,Health and Personal Care
E.M.B. CONSTRUCTION,Pulo,Construction and Real Estate,Construction Services
TELECLICK. MOBILE PHONES AND ACCESSORIES STORE,Banlic,Retail Stores,Electronics and Gadgets
EL DIENTE DENTAL CLINIC,San Isidro,Healthcare Services,Dental Clinics
POWERCRAFT REVIEW CENTER AND CONSULTANCY SERVICES,Pulo,Professional Services,Consultancy and Management Services
GERALD FOOD HUB  ( HAPPY MANOK ),San Isidro,Food Services,Restaurant
POWER BLUES GENERAL MERCHANDISE,Banaybanay,Retail Stores,General Merchandise
GOLDEN.STAR MANPOWER SERVICES,Marinig,Professional Services,Contracting and Manpower Services
WINAIR ELECTRICAL REWINDING SERVICES,Banlic,Automotive Services,Specialized Automotive Services
CLCD CONSUMER GOODS TRADING,Banaybanay,Retail Stores,School and Office Supplies
CASPER E-CIGARETTES CO.,Banlic,Retail Stores,Specialty Stores
CNCM HOMEBUILDERS CONSTRUCTION TRADING,Sala,Retail Stores,Furniture and Home Decor
BZ THERAPY CENTER,San Isidro,Healthcare Services,Therapy Centers
LCDA DELIVERY SERVICES,Pulo,Transportation and Logistics,Delivery Services
RBCLEANTEK ENVIRONMENT CONSULTANCY SERVICES,Banaybanay,Professional Services,Consultancy and Management Services
LCDCH20 WATER REFILLING STATION,Banaybanay,Retail Stores,Water Supply
GSC MEAT PRODUCTS TRADING,Banaybanay,Retail Stores,Food and Beverage
J.M.C PET SUPPLIES AND ACCESSORIES TRADING,Butong,Retail Stores,Specialty Stores
J.M.C RICE STORE,Butong,Retail Stores,Food and Beverage
"CASA MORIONES CATERING SERVICES, INC.",Diezmo,Food Services,Catering Service
CELEDONIO SALON,Mamatid,Personal Care Services,Beauty Parlor
RL POD CONSUMER GOODS RETAILING,Mamatid,Retail Stores,General Merchandise
HERLENE LAUNDRY SERVICES,Banaybanay,Personal and Household Services,Laundry Shops
PRINTPINK SOUVENIR SHOP,Banaybanay,Retail Stores,Specialty Stores
GIELYN APARTMENT,Banaybanay,Construction and Real Estate,Apartment/Apartelle
EZEKHIEL GRILLING STATION ( MARINDUQUEÑOS LITSON MANOK ),Banlic,Retail Stores,Food and Beverage
SAN`S CAFE,Mamatid,Food Services,Coffee Shop
TOOTH POWER DENTAL CLINIC,San Isidro,Healthcare Services,Dental Clinics
AUSTRIA-CUARTEROS DENTAL CARE CLINIC,Baclaran,Healthcare Services,Dental Clinics
RICCAST ONLINE SHOP,Marinig,Retail Stores,Online Shops
MACDECALZ ONLINE SHOP,Marinig,Retail Stores,Online Shops
KRISVINCLARK VULCANIZING SHOP,Gulod,Automotive Services,Vulcanizing Services
GABVENTURES PHARMACY ( FARMACIA NI DOK ),Banaybanay,Healthcare Services,Pharmacies
YEYE-KAI`S MILKTEA STATION ( BOOBA MILK TEA ),Sala,Food Services,Milk Tea Shop
ANDREA`S LEARNING AND DEVELOPMENT CENTER,Banaybanay,Educational Services,Tutorial Services
MADIZELLE 2 FOOD AND BEVERAGE KIOSK (GODO),Banaybanay,Food Services,Food Stand
DCM GLOBAL TECHNOLOGIES INC.,Pulo,Retail Stores,General Merchandise
146 LOMI HOUSE,Casile,Food Services,Restaurant
EJURIE SARI-SARI STORE,Marinig,Retail Stores,Sari-Sari Store
PILLARS MINERAL`S CLAY AND SAND PITS QUARRYING,Pulo,Retail Stores,Hardware and Construction Supplies
RM AUTO REPAIR SHOP,Butong,Automotive Services,Auto Repair Services
JB DRESSED CHICKEN STORE,Butong,Wholesale and Distribution,Food Products
CILIO & REY HARDWARE,Baclaran,Retail Stores,Hardware and Construction Supplies
E&J BEVERAGE SHOP,Banaybanay,Food Services,Refreshment Parlor
DENGEMSAN INCORPORATED (GENERIKA),Mamatid,Healthcare Services,Pharmacies
DULAY CONSUMER GOODS STORE,Poblacion Dos,Retail Stores,General Merchandise
DOCTOR NGIPIN DENTAL CLINIC,Marinig,Healthcare Services,Dental Clinics
IDL MEDICAL LABORATORY AND DENTAL CLINIC,Marinig,Healthcare Services,Dental Clinics
ABDSBUILDERS CONSTRUCTION,Banaybanay,Construction and Real Estate,Construction Services
RJR DE LEON`S DENTAL CLINIC,Banlic,Healthcare Services,Dental Clinics
RJR DE LEON`S DENTAL CLINIC,Gulod,Healthcare Services,Dental Clinics
DEÑA COMMERCIAL SPACE RENTAL,San Isidro,Construction and Real Estate,Lessor (Commercial Space)
ALFRED AND DAISY DRESSED CHICKEN AND MEAT SHOP,San Isidro,Retail Stores,Food and Beverage
CHINGGUYA MINI STORE,Sala,Retail Stores,Sari-Sari Store
CLEARWATER 1 WATER REFILLING STATION,Mamatid,Retail Stores,Water Supply
MHEL HOME MASSAGE SERVICES,Mamatid,Personal Care Services,Home Massage Services
DRGC VAPE SHOP,Banlic,Retail Stores,Specialty Stores
DRGC PRINTING SERVICES,Banlic,Creative and Media Services,Printing Services
MUD. COFFEE HOUSE,Sala,Food Services,Coffee Shop
C & E BIGAA HARDWARE TRADING,Bigaa,Retail Stores,Hardware and Construction Supplies
ESPINOZA APARTMENTS,Banaybanay,Construction and Real Estate,Lessor (Residential)
F.U.S.E SALON SUPPLIES TRADING,Pulo,Retail Stores,Health and Personal Care
JNR POULTRY SUPPLIES,Banaybanay,Retail Stores,Specialty Stores
QUATRO MARIAS FOOD HUB ( N`GRANDE SPECIAL HALO HALO ),Sala,Food Services,Refreshment Parlor
DUQUE-ESLETA DENTAL CLINIC,San Isidro,Healthcare Services,Dental Clinics
TRI POINT BUILDERS,Sala,Construction and Real Estate,Construction Services
MELB CELLPHONE AND ACCESSORIES TRADING,Pulo,Retail Stores,Electronics and Gadgets
I-CONNECT INFORMATION SERVICES,Poblacion Uno,IT and Digital Services,Virtual Assistance
FORE CARAMA CARGO SOLUTION INC.,Niugan,Transportation and Logistics,Logistics Services
