Barangay,Transportation links,Commercial accessibility,Travel outside barangay,Transportation challenges
Baclaran,4,2,3,Lack of public transport
Baclaran,2,4,2,"Traffic congestion, Long travel distances"
Baclaran,2,3,4,"Traffic congestion, Long travel distances"
Baclaran,1,1,5,"Poor road conditions, Lack of public transport"
Baclaran,4,2,3,Traffic congestion
Baclaran,2,2,3,"Traffic congestion, Poor road conditions"
Baclaran,2,1,2,Lack of public transport
Baclaran,3,3,2,"Poor road conditions, Traffic congestion"
Baclaran,2,1,5,Lack of public transport
Baclaran,3,5,2,"Long travel distances, Poor road conditions"
Baclaran,1,1,1,Traffic congestion
Baclaran,4,2,1,"Long travel distances, Poor road conditions"
Baclaran,4,3,3,"Traffic congestion, Traffic congestion"
Baclaran,4,3,4,Long travel distances
Baclaran,2,1,1,Lack of public transport
Baclaran,3,2,4,"Poor road conditions, Long travel distances"
Baclaran,3,1,4,"Lack of public transport, Safety concerns"
Baclaran,2,3,1,"Long travel distances, Safety concerns"
Baclaran,2,4,1,Poor road conditions
Baclaran,3,2,4,"Long travel distances, Long travel distances"
Banaybanay,2,5,5,Lack of public transport
Banaybanay,2,5,2,"Long travel distances, Traffic congestion"
Banaybanay,4,5,2,"Poor road conditions, Traffic congestion"
Banaybanay,2,3,5,"Lack of public transport, Long travel distances"
Banaybanay,2,5,2,"Poor road conditions, Lack of public transport"
Banaybanay,1,5,5,"Traffic congestion, Long travel distances"
Banaybanay,2,4,2,"Traffic congestion, Poor road conditions"
Banaybanay,3,3,1,"Traffic congestion, Long travel distances"
Banaybanay,5,4,2,Long travel distances
Banaybanay,4,2,2,Traffic congestion
Banaybanay,2,4,2,"Inadequate pedestrian pathways, Traffic congestion"
Banaybanay,3,2,4,Traffic congestion
Banaybanay,1,1,4,Long travel distances
Banaybanay,3,4,2,"Long travel distances, Safety concerns"
Banaybanay,2,3,4,Long travel distances
Banaybanay,1,4,4,"Long travel distances, Lack of public transport"
Banaybanay,4,4,2,"Poor road conditions, Safety concerns"
Banaybanay,1,2,1,Traffic congestion
Banaybanay,1,2,3,Poor road conditions
Banaybanay,2,1,4,"Traffic congestion, Traffic congestion"
Banlic,5,2,2,Traffic congestion
Banlic,3,4,4,"Poor road conditions, Poor road conditions"
Banlic,2,5,2,Long travel distances
Banlic,4,1,4,"Poor road conditions, Traffic congestion"
Banlic,1,1,1,Long travel distances
Banlic,4,4,3,"Lack of public transport, Poor road conditions"
Banlic,2,4,4,Lack of public transport
Banlic,4,5,1,"Lack of public transport, Lack of public transport"
Banlic,4,1,2,"Poor road conditions, Lack of public transport"
Banlic,2,3,5,Poor road conditions
Banlic,3,2,1,"Lack of public transport, Poor road conditions"
Banlic,4,2,4,"Lack of public transport, Inadequate pedestrian pathways"
Banlic,1,2,3,Poor road conditions
Banlic,4,4,2,"Long travel distances, Poor road conditions"
Banlic,2,4,4,"Safety concerns, Inadequate pedestrian pathways"
Banlic,3,2,4,Long travel distances
Banlic,3,2,1,"Safety concerns, Traffic congestion"
Banlic,2,3,2,Traffic congestion
Banlic,3,2,4,"Inadequate pedestrian pathways, Poor road conditions"
Banlic,2,1,2,"Long travel distances, Traffic congestion"
Bigaa,5,5,2,"Poor road conditions, Traffic congestion"
Bigaa,1,4,4,Poor road conditions
Bigaa,3,4,1,"Traffic congestion, Long travel distances"
Bigaa,2,5,1,"Traffic congestion, Long travel distances"
Bigaa,2,3,4,Long travel distances
Bigaa,3,1,4,"Traffic congestion, Traffic congestion"
Bigaa,1,3,2,Poor road conditions
Bigaa,4,5,3,"Poor road conditions, Lack of public transport"
Bigaa,2,3,2,"Poor road conditions, Long travel distances"
Bigaa,2,4,2,Lack of public transport
Bigaa,2,4,3,Safety concerns
Bigaa,4,1,4,Lack of public transport
Bigaa,1,2,3,"Inadequate pedestrian pathways, Poor road conditions"
Bigaa,2,1,4,Safety concerns
Bigaa,3,3,4,Poor road conditions
Bigaa,2,4,3,Safety concerns
Bigaa,3,2,1,"Lack of public transport, Safety concerns"
Bigaa,3,3,1,"Traffic congestion, Long travel distances"
Bigaa,4,1,4,"Long travel distances, Lack of public transport"
Bigaa,2,3,3,Long travel distances
Butong,1,3,4,Poor road conditions
Butong,5,4,2,Lack of public transport
Butong,4,2,1,Long travel distances
Butong,3,5,3,"Traffic congestion, Lack of public transport"
Butong,4,4,3,Traffic congestion
Butong,5,3,4,Lack of public transport
Butong,4,3,4,"Poor road conditions, Long travel distances"
Butong,1,3,4,Long travel distances
Butong,5,4,3,Lack of public transport
Butong,4,4,4,"Traffic congestion, Long travel distances"
Butong,1,2,3,"Traffic congestion, Lack of public transport"
Butong,1,1,3,Lack of public transport
Butong,2,3,1,Inadequate pedestrian pathways
Butong,4,2,2,Long travel distances
Butong,2,3,1,"Lack of public transport, Safety concerns"
Butong,4,3,3,Lack of public transport
Butong,1,4,2,"Inadequate pedestrian pathways, Safety concerns"
Butong,1,3,3,"Traffic congestion, Inadequate pedestrian pathways"
Butong,4,1,3,"Inadequate pedestrian pathways, Lack of public transport"
Butong,1,2,2,Safety concerns
Casile,5,5,5,Long travel distances
Casile,4,5,4,Traffic congestion
Casile,4,1,4,Long travel distances
Casile,4,3,4,Poor road conditions
Casile,5,3,5,Lack of public transport
Casile,1,5,2,"Lack of public transport, Long travel distances"
Casile,1,2,2,"Poor road conditions, Long travel distances"
Casile,1,1,5,"Lack of public transport, Traffic congestion"
Casile,2,2,5,"Lack of public transport, Traffic congestion"
Casile,5,1,3,"Poor road conditions, Lack of public transport"
Casile,1,2,2,"Lack of public transport, Safety concerns"
Casile,4,4,1,"Long travel distances, Safety concerns"
Casile,3,3,3,"Lack of public transport, Long travel distances"
Casile,2,4,3,Safety concerns
Casile,3,2,2,"Safety concerns, Poor road conditions"
Casile,2,4,4,Lack of public transport
Casile,1,1,3,"Safety concerns, Inadequate pedestrian pathways"
Casile,1,2,3,Lack of public transport
Casile,1,3,3,Traffic congestion
Casile,3,3,2,"Inadequate pedestrian pathways, Safety concerns"
Diezmo,5,1,3,"Long travel distances, Long travel distances"
Diezmo,2,5,1,Long travel distances
Diezmo,4,1,3,Poor road conditions
Diezmo,2,5,3,"Traffic congestion, Lack of public transport"
Diezmo,3,1,2,"Long travel distances, Lack of public transport"
Diezmo,1,5,5,"Poor road conditions, Traffic congestion"
Diezmo,4,1,3,"Traffic congestion, Long travel distances"
Diezmo,2,5,3,"Traffic congestion, Traffic congestion"
Diezmo,2,2,4,"Traffic congestion, Traffic congestion"
Diezmo,4,4,1,"Long travel distances, Poor road conditions"
Diezmo,3,4,1,"Lack of public transport, Poor road conditions"
Diezmo,4,3,2,Safety concerns
Diezmo,1,2,3,Traffic congestion
